timestep,mean_reward_last_100,mean_episode_length_last_100
1817,2.828208,9.11
3580,2.8160117,9.18
5261,3.0793664,9.3
6923,3.3300543,10.86
8658,3.8004184,9.99
10429,3.3811173,8.85
12168,4.137913,8.17
13913,3.83764,9.28
15616,4.348031,10.66
17364,3.9634757,9.07
19129,3.8108823,9.05
20814,3.3288107,10.19
22514,3.6033,8.43
24239,4.0348063,9.43
25958,3.9454105,9.85
27682,3.6785743,9.67
29474,3.968953,10.59
31214,3.8316913,10.27
32940,4.1237583,8.9
34663,3.8015985,9.52
36393,3.702686,7.69
38083,3.9872205,9.72
39877,3.708812,9.71
41636,3.7335212,9.58
43345,3.9722977,8.11
45067,4.311367,10.16
46808,3.741989,9.23
48465,4.122811,9.32
50229,4.048514,9.4
51932,3.7021897,9.14
53652,3.9263065,8.81
55332,4.0977836,11.06
57118,4.114385,8.56
58871,3.4975543,10.25
60689,3.9101572,10.56
62371,4.092462,9.4
64112,3.9301684,9.45
65762,4.220339,10.04
67524,4.124886,9.77
69260,3.8643959,10.1
71032,4.1109977,9.34
72800,3.7632232,9.77
74526,3.9438462,9.83
76250,3.9231164,9.4
78004,3.9927855,9.84
79740,3.3979445,10.94
81468,3.8469439,9.03
83242,3.9822085,8.83
84961,4.0851426,9.57
86765,3.8152514,9.4
88475,4.148654,8.84
90212,4.0033126,9.31
91882,3.7113016,9.42
93666,3.7944062,9.71
95418,4.0960712,9.86
97144,3.7858813,10.88
98831,4.1711464,10.83
