timestep,mean_reward_last_100,mean_episode_length_last_100
1839,2.4701135,18.39
3675,2.5253186,18.36
5481,2.6783197,18.06
7309,2.9237385,18.28
9163,3.0004215,18.54
10978,2.7381208,18.15
12805,3.2059748,18.27
14648,3.3317807,18.43
16508,3.3547232,18.6
18281,3.388809,17.73
20005,3.958612,17.24
21783,3.3174572,17.78
23487,3.724085,17.04
25172,3.3972538,16.85
26932,3.3410287,17.6
28650,3.1353593,17.18
30321,3.7989643,16.71
32056,3.5263205,17.35
33737,3.2849069,16.81
35446,3.444393,17.09
37174,3.698155,17.28
38840,3.3952203,16.66
40543,3.0521019,17.03
42251,2.9910653,17.08
43972,3.1025977,17.21
45716,2.6632266,17.44
47452,3.1370327,17.36
49230,2.7420766,17.78
51034,2.8406365,18.04
52829,3.173652,17.95
54567,2.922795,17.38
56291,3.3295386,17.24
58071,3.189005,17.8
59878,3.4007986,18.07
61718,2.8355799,18.4
63474,3.2956836,17.56
65215,3.135754,17.41
66947,3.0845466,17.32
68722,3.0530665,17.75
70481,3.3060129,17.59
72235,3.3807025,17.54
73985,2.929444,17.5
75809,3.2838883,18.24
77632,3.0146084,18.23
79471,3.0418887,18.39
81272,3.3184838,18.01
83014,3.2941864,17.42
84749,3.643473,17.35
86524,3.4317563,17.75
88279,3.2783575,17.55
90066,3.6003742,17.87
91915,3.4006262,18.49
93697,3.2516284,17.82
95443,3.9255447,17.46
97157,3.7308521,17.14
98958,2.7370713,18.01
