timestep,mean_reward_last_100,mean_episode_length_last_100
1825,1.7255768,918.39
3644,1.9500079,960.05
5463,2.438737,958.79
7287,2.3126762,1000.61
9060,2.4603791,1013.78
10848,2.5798004,1053.84
12625,2.4685662,1111.1
14408,2.5972135,1133.69
16182,2.9451232,968.41
17931,2.7615883,884.04
19700,3.0216258,941.74
21518,2.9636426,1008.74
23310,2.9327192,1026.28
25072,2.922604,1094.73
26787,3.079389,1156.84
28553,3.0103157,1055.57
30248,3.4177756,866.26
31960,3.3223355,960.4
33598,3.4115102,1015.52
35307,3.5507102,1078.51
37067,3.899985,1129.01
38734,3.6843839,1038.41
40469,3.7015762,887.03
42166,3.7148023,940.78
43933,3.5220428,1031.09
45662,3.3977494,1071.48
47377,3.0034707,1124.99
49070,3.7133365,1133.34
50807,3.7301178,895.42
52508,3.9840024,923.73
54264,3.9308875,1015.06
55998,3.9506683,1045.02
57611,4.2344227,1194.64
59382,3.8558936,1141.44
61176,4.0639787,887.37
62885,4.098034,895.94
64637,3.8015757,975.83
66368,3.3412814,1002.2
68108,3.7151406,1069.44
69863,4.172777,1133.46
71591,4.030347,1106.67
73344,4.213111,895.81
75098,3.8129675,957.95
76935,4.0852904,1001.55
78681,4.4905653,1047.08
80338,4.3481297,1108.15
82024,3.785106,1179.48
83780,3.6846967,989.0
85519,4.1485825,915.12
87245,3.1983955,959.26
88990,4.0289335,997.97
90742,4.5232973,1043.67
92455,4.2356095,1130.93
94219,3.8479033,1165.11
95925,3.6518426,857.31
97691,3.9234993,934.15
99435,4.509996,972.22
