timestep,mean_reward_last_100,mean_episode_length_last_100
1798,54.77799983178211,17.98
3630,54.403494545393166,18.32
5283,62.2485552937995,16.53
7032,64.86912725480825,17.49
8799,65.0003050521088,17.67
10586,65.97514975162267,17.87
12323,65.96526046761772,17.37
14071,64.83945652688524,17.48
15761,61.944469806984415,16.9
17514,67.55385960726427,17.53
19270,65.61799439665101,17.56
20986,64.54267027416282,17.16
22640,61.348792688575976,16.54
24331,63.745212497578166,16.91
26086,66.67830585598661,17.55
27816,63.04227348295067,17.3
29584,66.28684143097458,17.68
31341,65.65647927757043,17.57
33033,61.63275724138814,16.92
34740,63.78229429207974,17.07
36494,66.3729751416128,17.54
38151,62.43996990451352,16.57
39931,67.13536021003405,17.8
41633,62.37782494238852,17.02
43358,67.074185227103,17.25
45113,65.7225455419158,17.55
46866,65.94571671879005,17.53
48634,64.81665580755711,17.68
50366,65.015917938233,17.32
52103,65.66941690939707,17.37
53782,63.137308809179565,16.79
55505,65.25173961755439,17.23
57263,64.99694987672618,17.58
58959,62.81336044550094,16.96
60711,63.21650939347971,17.52
62417,64.51285944909249,17.06
64138,64.03470731151513,17.21
65817,65.3523967962429,16.79
67613,68.8710889713888,17.96
69334,63.291421040522316,17.21
71034,64.1024487253646,17.0
72796,64.36762689670375,17.62
74460,62.808542513222946,16.64
76150,63.36658786841741,16.9
77930,67.72283979605201,17.8
79665,62.496475271609526,17.35
81379,62.76124124112572,17.14
83121,65.5845224252002,17.42
84848,64.55321227672401,17.27
86567,63.68562500552065,17.19
88299,63.42700628775301,17.32
90024,63.7667897078704,17.25
91798,66.07397255210309,17.74
93573,63.52678915590227,17.75
95310,64.41183077161566,17.37
97045,65.98272151470361,17.35
98754,64.25273923298684,17.09
