episode,step,position,risk_level,action,reward,gestational_week
1,1,"(1, 0)",LOW,SPECIALIST_REFERRAL,-0.18856685780272597,13
1,2,"(1, 1)",LOW,SPECIALIST_REFERRAL,2.0848022490851403,15
1,3,"(1, 2)",LOW,SPECIALIST_REFERRAL,-0.46688249441320107,17
1,4,"(1, 2)",LOW,SPECIALIST_REFERRAL,1.0108287061001873,19
1,5,"(2, 2)",LOW,SPECIALIST_REFERRAL,0.8743596223636848,20
1,6,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,2.41857182706289,22
1,7,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,3.1691723960576077,23
1,8,"(3, 1)",MODERATE,SPECIALIST_REFERRAL,2.694268690063949,24
1,9,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,1.4618423170691883,25
1,10,"(4, 2)",MODERATE,SPECIALIST_REFERRAL,1.5131839910182519,27
1,11,"(4, 3)",MODERATE,SPECIALIST_REFERRAL,2.6921068191377935,29
1,12,"(3, 3)",MODERATE,SPECIALIST_REFERRAL,1.1507697722591386,30
1,13,"(3, 4)",HIGH,SPECIALIST_REFERRAL,5.688605226067872,32
1,14,"(4, 5)",HIGH,SPECIALIST_REFERRAL,3.5911483749067656,34
1,15,"(5, 6)",HIGH,SPECIALIST_REFERRAL,7.7447962728307544,35
1,16,"(6, 7)",CRITICAL,SPECIALIST_REFERRAL,6.351660799813273,37
1,17,"(7, 7)",CRITICAL,INCREASED_MONITORING,3.8568139073828203,39
